# Longitude   Latitude
  306.2140    48.5168
  306.9139    48.6878
  307.0414    48.1572
  307.3519    47.5355
  306.9308    46.6555
  306.4785    46.6183
  305.8211    46.8071
  306.0381    47.6252
  305.7595    47.7523
  304.5992    46.8850
  304.0025    46.9197
  304.7088    47.3896
  303.7492    47.6325
  302.6748    47.5728
  300.7340    47.6033
  300.5805    47.8995
  301.2034    48.2515
  300.7684    48.5232
  301.6082    49.1256
  302.6413    50.7183
  303.2613    51.2874
  304.1290    51.6321
  304.5930    51.5883
  304.3998    51.3171
       nan        nan
  276.1174    65.1096
  277.2124    64.7667
  278.3580    64.4551
  278.4466    63.9796
  279.1826    64.0575
  279.8965    63.7260
  279.0090    63.4112
  277.4528    63.6517
  276.8912    64.1019
  275.8996    63.5697
  274.4766    63.0524
  274.1332    63.6373
  272.7780    63.5412
  273.6472    64.0358
  273.7751    64.8229
  274.1162    65.7388
  274.8387    65.6573
  275.0242    65.2175
  275.5360    65.3718
  276.1174    65.1096
       nan        nan
  281.2294    72.3522
  282.1754    72.7496
  284.3942    72.2437
  285.7714    71.7671
  285.9009    71.3308
  287.7578    71.5569
  288.8000    70.9200
  291.2139    70.5250
  292.0850    70.1219
  293.0310    69.1861
  291.1949    68.7202
  293.5501    68.0672
  295.1377    67.8475
  296.5751    66.9285
  298.1480    66.8621
  297.8368    66.1603
  296.0816    64.9987
  294.8511    65.4260
  293.2788    66.3880
  291.9850    66.2627
  291.8587    65.6898
  292.9104    65.1085
  294.2679    64.6484
  294.6798    64.3827
  295.3306    63.3929
  294.9862    62.6742
  293.7250    62.9451
  291.2168    63.7457
  292.6303    62.8840
  293.6717    62.2801
  293.8344    61.9309
  291.1226    62.3301
  288.9766    62.9107
  287.7646    63.3978
  288.1137    63.6800
  286.6217    64.1940
  285.1656    64.6791
  285.1815    64.3891
  282.2900    64.2295
  281.4441    64.5729
  282.1027    65.3092
  283.9817    65.3270
  286.0402    65.4548
  285.7061    65.8118
  286.0551    66.3106
  287.3488    67.2846
  287.0739    67.7269
  286.6884    68.0694
  285.1567    68.5546
  283.1309    68.8947
  283.7714    69.1478
  282.7126    69.7695
  281.8314    69.8265
  281.0428    70.1669
  280.5075    69.8718
  278.6945    69.7432
  275.0553    69.9666
  272.9400    70.2600
  271.3183    70.4107
  270.4866    70.7621
  271.5323    71.2182
  270.1118    71.2226
  269.7948    72.2351
  270.5634    73.1295
  271.5918    73.5379
  274.1738    73.8038
  273.4378    73.1574
  274.2256    72.5341
  275.1499    73.3403
  277.6844    73.7510
  279.3999    72.7165
  279.2511    72.0619
  281.2294    72.3522
       nan        nan
  265.4963    74.1349
  267.5800    74.1000
  269.4902    73.8567
  267.9960    72.9662
  266.8037    72.7720
  265.7310    72.0246
  264.5901    72.0619
  263.9663    72.9403
  263.9817    73.4374
  264.5042    73.8624
  265.4963    74.1349
       nan        nan
  259.5616    72.7059
  258.4600    73.3600
  259.6436    73.8439
  260.8361    73.6334
  262.6200    73.7600
  262.8800    73.4700
  261.9464    72.9905
  263.4600    72.5600
  263.2800    71.6600
  261.6404    71.2729
  260.6772    71.3564
  259.9852    71.7383
  257.5200    72.4829
  257.5200    72.8300
  259.5616    72.7059
       nan        nan
  252.1806    75.8455
  253.0711    76.0128
  254.1190    75.9694
  254.2950    75.4795
  253.6865    75.0053
  250.3000    74.8500
  247.7769    74.4170
  246.2562    74.3943
  246.1287    74.7203
  248.2058    75.1625
  243.6878    75.0434
  242.2896    75.2222
  243.6540    76.1990
  244.5951    76.4789
  247.4094    76.1413
  249.1858    75.5492
  250.9329    75.4732
  249.5027    76.4298
  250.4189    76.7942
  251.4514    76.6783
  251.7886    76.2017
  252.1806    75.8455
       nan        nan
  237.1451    76.1165
  238.8425    76.8645
  240.8961    77.5122
  242.4299    77.4983
  243.8014    77.6453
  243.6642    76.8770
  242.8939    76.5300
